site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
BR-Sa1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-Sa1_2002-2011_FLUXNET2015_Flux.nc,2002,2011,,,,-2.8566999435424805,-54.958900451660156,EBF,175296,False,284925,16.524310437832845
BR-Xpw,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-Xpw_2018-2021_FLUXNET2015_Flux.nc,2018,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BR-Xpw_2017-2022.nc,2017.0,2022.0,-16.37299919128418,-56.46099853515625,GRA,70128,True,346359,10.588470694226814
BW-Gum,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BW-Gum_2018-2019_FLUXNET2015_Flux.nc,2018,2019,,,,-18.9647216796875,22.371110916137695,WET,35040,False,356880,13.564293591401496
BW-Nxr,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BW-Nxr_2019-2019_FLUXNET2015_Flux.nc,2019,2019,,,,-19.54805564880371,23.179166793823242,GRA,17520,False,359442,12.36165527029257
CA-ARB,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-ARB_2012-2023_FLUXNET2015_Flux.nc,2012,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-ARB_2011-2024.nc,2011.0,2024.0,52.69499969482422,-83.94519805908203,WET,210384,True,56938,13.803472681052781
CA-BOU,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-BOU_2019-2019_FLUXNET2015_Flux.nc,2019,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-BOU_2018-2020.nc,2018.0,2020.0,50.52439880371094,-63.20640182495117,WET,17520,True,63777,12.597956459245475
CA-CF3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-CF3_2023-2025_FLUXNET2015_Flux.nc,2023,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-CF3_2022-2025.nc,2022.0,2025.0,58.66579818725586,-93.83039855957031,WET,52608,True,41016,12.596314287701606
CA-Ca1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Ca1_1998-2010_FLUXNET2015_Flux.nc,1998,2010,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Ca1_1997-2010.nc,1997.0,2010.0,49.86724853515625,-125.33360290527344,ENF,227904,True,65356,6.2010587878039996
CA-Ca3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Ca3_2011-2024_FLUXNET2015_Flux.nc,2011,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Ca3_2001-2024.nc,2001.0,2024.0,49.53461837768555,-124.90043640136719,ENF,245472,True,66221,10.365568703176894
CA-Cbo,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Cbo_1996-2024_FLUXNET2015_Flux.nc,1996,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Cbo_1996-2024.nc,1996.0,2024.0,44.31850051879883,-79.93419647216797,MF,508464,True,83876,7.828367664748458
CA-DBB,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-DBB_2016-2024_FLUXNET2015_Flux.nc,2016,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-DBB_2015-2024.nc,2015.0,2024.0,49.12929916381836,-122.98490142822266,WET,157824,True,67954,11.124289627572718
CA-EM1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-EM1_2022-2023_FLUXNET2015_Flux.nc,2022,2023,,,,50.362300872802734,-100.20240020751953,WET,35040,False,63689,17.035729742612432
CA-EM2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-EM2_2022-2023_FLUXNET2015_Flux.nc,2022,2023,,,,50.370601654052734,-100.53389739990234,WET,35040,False,63688,11.71977422740405
CA-Gro,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Gro_2004-2013_FLUXNET2015_Flux.nc,2004,2013,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Gro_2003-2014.nc,2003.0,2014.0,48.21670150756836,-82.15560150146484,MF,175344,True,70744,11.743390214138847
CA-HPC,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-HPC_2018-2018_FLUXNET2015_Flux.nc,2018,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-HPC_2018-2018.nc,2018.0,2018.0,68.32029724121094,-133.518798828125,ENF,17520,True,19803,17.939475650923093
CA-KLP,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-KLP_2012-2019_FLUXNET2015_Flux.nc,2012,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-KLP_2011-2020.nc,2011.0,2020.0,51.5901985168457,-81.76840209960938,WET,140256,True,60277,7.41224425584605
CA-LP1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-LP1_2008-2023_FLUXNET2015_Flux.nc,2008,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-LP1_2007-2024.nc,2007.0,2024.0,55.111900329589844,-122.84140014648438,ENF,280512,True,49759,12.429649745183152
CA-LU1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-LU1_2021-2022_FLUXNET2015_Flux.nc,2021,2022,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-LU1_2020-2023.nc,2020.0,2023.0,59.59510040283203,-117.28620147705078,OSH,35040,True,38149,14.022499079754047
CA-LU2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-LU2_2021-2022_FLUXNET2015_Flux.nc,2021,2022,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-LU2_2020-2023.nc,2020.0,2023.0,59.44049835205078,-117.24220275878906,OSH,35040,True,38824,5.1603134342652135
CA-MA1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-MA1_2010-2010_FLUXNET2015_Flux.nc,2010,2010,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-MA1_2009-2011.nc,2009.0,2011.0,50.16447067260742,-97.876220703125,CRO,17520,True,64558,2.8816452810785367
